SL No,Title,Link,Summary
1,Edge-LLM Inference With Cost-Aware Layer Allocation and Adaptive Scheduling,(PDF) Edge-LLM Inference With Cost-Aware Layer Allocation and Adaptive Scheduling,"The paper proposes key challenges in deploying Large Language Models (LLMs) in edge computing environments, focusing on cost-efficient task allocation and dynamic scheduling under strict deadline constraints. It proposes two main contributions: a Fair Cost-Efficient Incentive Mechanism (FCIM), which selects memory-feasible and cost-effective edge devices while balancing latency, reward cost, and fairness, and an Adaptive Dynamic Scheduling Algorithm (ADSA), which dynamically reorders tasks based on arrival time and workload to minimize delays and meet deadlines. The study evaluates these approaches through simulations, demonstrating that FCIM reduces communication overhead by 54.7% and task completion time by 36.9%, while ADSA decreases queuing delay by 39%. The results highlight the limitations of traditional cloud-based inference, such as high latency, operational costs, and scalability issues, and emphasize the advantages of edge-based deployment despite real-world constraints like limited device availability and resource variability. Overall, the paper presents a practical framework for enabling efficient, scalable, and fair LLM inference at the edge, stressing the importance of adaptive mechanisms that account for heterogeneous environments without relying on centralized infrastructure."
2,Adaptive Model Partitioning for Distributed LLM Inference Across Heterogeneous Devices,Adaptive Model Partitioning for Distributed LLM Inference Across Heterogeneous Devices | Request PDF,null
3,TPI-LLM: Serving 70B-Scale LLMs Efficiently on Low-Resource Mobile Devices,TPI-LLM: Serving 70B-Scale LLMs Efficiently on Low-Resource Mobile Devices,"The paper proposes TPI-LLM, a framework designed to enable efficient inference of 70B-scale Large Language Models (LLMs) on resource-constrained mobile devices by leveraging tensor parallel inference to distribute computations across multiple devices, thereby reducing memory and computational bottlenecks. It incorporates layer-wise allocation and adaptive scheduling mechanisms to balance workloads and minimize latency under dynamic conditions. The study highlights the limitations of existing approaches such as pruning, quantization, and cloud offloading, which either compromise model accuracy or introduce latency and privacy concerns. Experimental results demonstrate that TPI-LLM significantly reduces inference time and resource consumption, making large-scale LLM deployment more practical on mobile platforms. Overall, the paper presents a scalable and cost-efficient solution that enables real-time, low-latency, and privacy-preserving LLM inference, aiming to bridge the gap between advanced AI models and everyday mobile usability."
4,Large Language Models (LLMs) Inference Offloading and Resource Allocation in Cloud-Edge Computing: An Active Inference Approach,Large Language Models (LLMs) Inference Offloading and Resource Allocation in Cloud-Edge Computing: An Active Inference Approach | IEEE Journals & Magazine | IEEE Xplore,"The paper proposes the challenge of executing Large Language Model (LLM) inference tasks on resource-constrained mobile and edge devices, where limited memory and computational power make direct deployment impractical. It critiques traditional deep reinforcement learning (DRL)-based offloading approaches, noting their poor data efficiency, limited sensitivity to latency requirements, and weak adaptability to dynamic workloads. To overcome these limitations, the authors propose a novel active inference–based framework for task offloading and resource allocation in cloud-edge environments. This approach enables more intelligent and adaptive decision-making by dynamically adjusting to varying task loads and system conditions. Simulation results show that the proposed method outperforms conventional DRL techniques, improving data utilization efficiency and demonstrating stronger adaptability in real-world scenarios. The paper highlights that while existing methods such as pruning, compression, and distributed training offer partial solutions, they remain insufficient for large-scale deployment. Overall, the study presents a more robust, efficient, and scalable approach to making LLM applications practical for mobile and edge computing environments."
5,Achieving Peak Performance for Large Language Models: A Systematic Review,Achieving Peak Performance for Large Language Models: A Systematic Review | IEEE Journals & Magazine | IEEE Xplore,"The research presents a comprehensive view of optimization strategies for Large Language Models (LLMs), combining insights from systematic reviews, edge deployment frameworks, and practical optimization techniques. It categorizes key approaches into training optimization, hardware efficiency, and scalability, highlighting frameworks such as Megatron-LM, GPipe, LightSeq2, and DeepSpeed for enabling large-scale model training. The study further explores edge deployment challenges, introducing solutions like TPI-LLM for tensor-parallel inference on mobile devices, adaptive model partitioning for heterogeneous environments, active inference–based offloading for improved adaptability, and cost-aware scheduling mechanisms such as FCIM and ADSA to balance latency, fairness, and resource utilization. Additional optimization techniques, including batching and quantization, are shown to significantly enhance throughput while reducing computational complexity. The findings emphasize that while cloud-based approaches prioritize scalability and throughput, edge-centric methods focus on latency, cost efficiency, and fairness, leading to a growing shift toward hybrid cloud-edge ecosystems. Overall, the research highlights a multi-layered optimization landscape aimed at making large-scale LLMs more efficient, accessible, and sustainable across diverse computing environments."
6,Edge Intelligence Optimization for Large Language Model Inference with Batching and Quantization,Edge Intelligence Optimization for Large Language Model Inference with Batching and Quantization | IEEE Conference Publication | IEEE Xplore,"The paper focuses on optimizing Large Language Model (LLM) inference on resource-constrained edge devices through the combined use of batching and quantization techniques. It formulates an inference model tailored for transformer decoder–based LLMs and addresses the associated optimization problem using a Depth-First Tree-Searching algorithm with online pruning (DFTSP), enabling efficient exploration of scheduling and resource allocation decisions. The study highlights the limitations of cloud-based inference, including privacy risks, latency, and dependency on centralized infrastructure, while noting that prior edge intelligence research has largely overlooked the unique computational challenges of LLMs such as large model size and auto-regressive decoding. Experimental results demonstrate that DFTSP outperforms existing batching strategies in throughput, reduces time complexity by over 45% compared to brute-force approaches, and adapts effectively to varying user latency and accuracy requirements. Overall, the paper presents a practical optimization framework that enhances throughput, reduces computational overhead, and supports quantized LLMs, aiming to enable real-time, efficient, and privacy-preserving LLM inference on edge devices without heavy reliance on cloud servers."
7,Optimizing Cloud Service Efficiency With Infrastructure-Aware Scheduling,https://ieeexplore.ieee.org/document/11392787,"The paper proposes an advanced Kubernetes scheduling system that improves cloud service efficiency by incorporating both energy awareness and infrastructure awareness into task scheduling decisions, addressing the limitation of default schedulers that rely only on CPU and memory without considering hardware differences or power consumption.  It introduces a benchmarking-based approach to model node performance across multiple dimensions such as CPU, memory, and I/O, and formulates scheduling as a multi-objective optimization problem using integer linear programming to minimize power consumption while matching tasks to suitable hardware.  To handle scalability issues, the system combines optimal ILP-based scheduling with a faster heuristic fallback and a re-scheduling mechanism that dynamically migrates workloads to reduce energy waste.  Experimental results on a Kubernetes cluster show that this approach can reduce power consumption by about 18.46% compared to the default scheduler while maintaining comparable performance, demonstrating the effectiveness of integrating performance-to-power ratios and hardware-aware task allocation in cloud environments."
8,The Energy Cost of Artificial Intelligence Lifecycle in Communication Networks,http://ieeexplore.ieee.org/document/11298182,"The paper examines the growing energy and environmental impact of integrating artificial intelligence into communication networks, particularly in the context of future systems like 6G. It argues that existing metrics fail to capture the full energy cost of AI because they focus only on isolated components such as data transmission, model training, or data center operations. To address this gap, the authors introduce a new metric called the Energy Cost of AI Lifecycle (eCAL), which measures the total energy consumed across the entire lifecycle of an AI model that includes data collection, preprocessing, training, evaluation, and inference which is relative to the amount of processed data. The paper also presents a detailed methodology for calculating this metric by breaking down each stage of the AI lifecycle and modeling its computational and communication energy costs. For example, it shows that data collection can be a major contributor due to transmission and protocol overhead, while training energy depends heavily on model architecture and hardware efficiency, and preprocessing complexity varies significantly depending on the chosen techniques. Through analytical modeling and case studies, the authors demonstrate that the energy cost per inference decreases as a model is used more frequently, since the high initial training cost is spread across more predictions."
9,Null,,
10,Energy Cost Modelling for Optimizing Large Language Model Inference on Hardware Accelerators,https://ieeexplore.ieee.org/document/10737844,"This paper focuses on improving the energy efficiency of large language model inference, which is becoming increasingly important due to the high energy costs of cloud-based GPUs and the limited resources of edge devices. To address this, the authors propose an open-source framework that models both energy consumption and latency of LLM workloads on different hardware accelerators, enabling early identification of performance and energy bottlenecks. The framework uses a PyTorch-based LLM representation converted to ONNX, integrates with the ZigZag simulation engine, and introduces techniques to significantly reduce simulation time—such as simplifying repeated layers and approximating the decode phase with minimal loss of accuracy. Through case studies using the Llama2-7B model, the paper reveals several important insights: the decode phase is often memory-bound and dominated by costly weight fetching, making it a major energy bottleneck; weight-only quantization can drastically reduce energy consumption (up to 4.6×) and shift bottlenecks toward attention mechanisms; and in edge devices, the prefill stage contributes relatively more to energy usage due to limited hardware resources. Overall, the study demonstrates that accurate energy modeling and hardware-aware optimization strategies are essential for designing efficient LLM systems across both cloud and edge environments."
11,GreenAI: A Comparative Analysis of Environmental Efficiency in LLM-Generated Code,https://ieeexplore.ieee.org/document/11366639,"The paper examines the environmental impact of code generated by large language models and proposes a structured way to evaluate their efficiency. It compares several popular models by testing their generated code on algorithm and data structure problems across Python, C++, and Java, using metrics such as execution time, memory usage, energy consumption, and carbon footprint. To fairly rank the models, the study introduces a unified scoring system called the GreenAI Efficiency Score, which applies the TOPSIS method to combine all metrics into a single value. The results show that while different models produce code with varying runtime and memory efficiency, their energy consumption and carbon emissions are often similar for short tasks, with more noticeable differences appearing in Java due to its runtime overhead. The paper highlights that evaluating AI systems should go beyond correctness and performance, emphasizing the importance of sustainability and energy-aware decision-making in modern software development."
12,Null,,
13,"Optimized Refinement for Spatially Adaptive SPH
",https://dl.acm.org/doi/10.1145/3363555,"The paper “Optimized Refinement for Spatially Adaptive SPH” proposes a new method for improving multi-resolution fluid simulations by treating particle refinement as an optimization problem rather than a heuristic process. It automatically computes optimal particle distributions both offline and dynamically during simulation, enabling accurate and stable transitions between different resolution levels. This approach significantly reduces refinement errors, supports extremely large resolution differences, and works flexibly with various SPH setups, resulting in more efficient and realistic fluid simulations.
"
14,Semisupervised Clustering by Queries and Locally Encodable Source Coding,https://ieeexplore.ieee.org/document/9256300,"The paper focuses on radio scene analysis for cognitive radio systems, specifically addressing the problem of identifying vacant frequency bands and classifying signal characteristics to enable efficient dynamic spectrum access. It proposes and evaluates different signal processing and machine learning-based approaches (such as wavelet-based feature extraction and classification methods) to improve detection accuracy under realistic noise conditions. The key contribution is demonstrating that advanced feature extraction (especially wavelets) significantly improves spectrum sensing accuracy and efficiency, enabling faster and more reliable identification of usable frequency channels compared to traditional methods."
15,Energy and Policy Considerations for Deep Learning in NLP,https://www.researchgate.net/publication/335778882_Energy_and_Policy_Considerations_for_Deep_Learning_in_NLP,"The paper “Energy and Policy Considerations for Deep Learning in NLP” highlights that recent improvements in NLP accuracy come at the cost of massive computational resources, high financial expense, and significant environmental impact. It quantifies the energy usage and carbon emissions of training large models (e.g., transformers and BERT-like systems), showing that hyperparameter tuning and large-scale experiments dramatically increase costs. The key idea is that current research practices favor resource-heavy models, which creates inequality and sustainability issues, and the authors propose that the field should shift toward more efficient, transparent, and environmentally responsible AI development practices."
16,PipeDream: generalized pipeline parallelism for DNN training,https://dl.acm.org/doi/10.1145/3341301.3359646,"The paper “PipeDream: Generalized Pipeline Parallelism for DNN Training” introduces a system that improves deep neural network training speed by combining pipeline parallelism with model parallelism, allowing different minibatches to be processed simultaneously across multiple machines. Its key innovation is handling the challenge of inconsistent parameter updates (due to overlapping forward and backward passes) through weight versioning, ensuring correct gradient computation while keeping the pipeline fully utilized. The system also automatically partitions model layers across workers to balance computation and minimize communication, achieving significantly higher training throughput (up to ~5× faster) compared to traditional parallel training methods."
17,DeepSpeed: System Optimizations Enable Training Deep Learning Models with Over 100 Billion Parameters,https://dl.acm.org/doi/10.1145/3394486.3406703?utm_cta=website-migrate-to-the-cloud&mkt_tok=undefined%3Fwtime%3Dseek_to_second_number,"The paper “DeepSpeed: System Optimizations Enable Training Deep Learning Models with Over 100 Billion Parameters” introduces a deep learning optimization system designed to make training extremely large models efficient and scalable. Its key idea is combining multiple optimization techniques—such as memory optimization (ZeRO), parallelism strategies, and efficient communication—to drastically reduce GPU memory usage while maintaining high training speed. This enables training models with hundreds of billions of parameters on limited hardware resources, lowering cost and improving accessibility, and demonstrates that large-scale model training can be made practical through system-level optimizations rather than just hardware scaling."
18,Null,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,Exploring KV Cache Quantization in Multimodal Large Language Model Inference,https://ieeexplore.ieee.org/document/11304543,"Working with multimodal AI right now is tough because high-res inputs absolutely devour memory. The model's short-term memory fills up so fast on the GPU that the system is forced to offload data to the CPU, which just kills performance and introduces terrible lag. The smartest workaround right now is quantization. Instead of treating every single piece of data like it needs maximum precision, researchers are just compressing the bulk of it. They keep a tiny percentage of the most important data points in high precision and shrink the rest. It's a brilliant trade-off that massively drops memory usage and speeds up the whole process, without noticeably hurting the model's output quality."
25,Accelerating LLM Inference via Dynamic KV Cache Placement in Heterogeneous Memory System,https://ieeexplore.ieee.org/document/11206428,"A major bottleneck in running large language models is the memory bandwidth required to access the KV cache. To solve this, researchers are leveraging mixed-memory systems that combine high-speed HBM with standard DRAM. By intelligently moving the KV cache between these memory types based on current traffic and capacity limits, developers can drastically improve data flow. Recent mathematical models confirm that this optimized approach to memory management significantly boosts overall AI processing speeds."
26,Accelerating Quantization-Aware Vector Search for Fast Retrieval in Prompt Engineering,https://www.computer.org/csdl/journal/tc/2026/03/11303310/2cwBPdFTVUk,"Right now, a major focus in AI research is making similarity search faster and more efficient, especially for Retrieval-Augmented Generation (RAG) systems that power large language models. While graph-based methods like HNSW are the industry standard, they often struggle to strike the right balance between processing speed, memory consumption, and accuracy. To solve this, researchers are turning to software–hardware co-design. By combining mixed-precision processing, smarter data organization, and custom-built hardware accelerators, these new approaches are massively boosting search speeds without sacrificing the quality of the results."
27,Null,,
28,FlashDecoding++Next: High Throughput LLM Inference With Latency and Memory Optimization,https://ieeexplore.ieee.org/document/11062854,"Right now, a lot of AI research is focused on one big question: how do we get massive language models to run faster without chewing up so much memory? The main roadblocks usually come down to technical bottlenecks—things like math operations pausing to sync up (softmax delays), wasted processing power during matrix calculations, and the system hoarding memory it doesn't actually need. To fix this, researchers are coming up with clever workarounds. By letting operations run asynchronously, tweaking how calculations are buffered, and actively recycling memory space, they've been able to dramatically speed up response times and lower hardware costs compared to standard setups."
29,Efficient LLMs Training and Inference: An Introduction,https://ieeexplore.ieee.org/document/10756602,"ChatGPT really changed the game for AI research back in late 2022. It sparked a wave of free, public models like LLaMA and Alpaca. We quickly learned that just building massive AI isn't enough; you have to train it with great instructions if you want it to solve hard problems. The real issue is that doing this takes an insane amount of computer power, which most research teams just don't have. Because they are limited by their hardware, researchers are now totally focused on efficiency—finding clever ways to run these smart AI models using far less computer power."
30,Minimizing Response Latency in LLM-Based Agent Systems: A Comprehensive Survey,https://ieeexplore.ieee.org/document/11394729,"The main limitation of current LLM-based agents is not their intelligence, but the high latency that makes them difficult to use in real-time scenarios. This review examines the issue across the entire system stack, starting with the core models, where techniques like quantization and improved decoding methods are used to speed up inference. It also considers the agent’s internal decision-making process, highlighting the need for faster planning cycles and more efficient memory management. On the system side, better hardware and distributed computing are emphasized as ways to reduce processing delays. In addition, the review discusses multi-agent systems, noting that excessive communication between agents can create overhead and slow down performance. Overall, it suggests that achieving truly responsive and efficient LLM-based agents requires better integration of hardware and software along with optimizations at every level of the system."